path,score
2209151493,204.2059690952301
1955005286,183.45006823539734
1930719128,153.52100729942322
1888420784,151.52945065498352
724990925,147.87887597084045
1913815584,145.30783891677856
386643140,130.86850309371948
1955977717,129.99340057373047
1954829958,127.65690660476685
228686773,125.82465434074402
1932172039,124.16910982131958
1933170398,122.03267431259155
1881767946,121.3293387889862
307445993,119.82265567779541
228593481,118.47207355499268
306458178,116.65727233886719
1886229488,116.57072138786316
396880128,116.24594163894653
953073729,115.77691531181335
1882472903,114.11835241317749
1952375463,113.9475564956665
1893000282,113.94167470932007
1883811766,113.49332246184349
1884748510,112.43765234947205
87732907,111.82053804397583
1886188287,108.10317921638489
1882656325,107.34290027618408
1955865087,106.65642189979553
307388188,105.70207977294922
1886284511,105.34399747848511
1883675657,105.07211399078369
1884933116,104.7561445236206
83137646,103.14778804779053
1876246039,103.12379550933838
714446328,101.81132638454437
2209373290,101.74621820449829
1954718746,98.8860297203064
1932378542,96.44067823886871
1954830112,96.19069504737854
236095294,95.19771480560303
4984489,94.14505195617676
2209610442,92.84766393899918
1885921575,92.53772044181824
383510236,92.45046520233154
2241830328,92.40533363819122
1931374923,92.05954623222351
1894762426,92.02242732048035
13493874,91.89629244804382
605658494,91.44965267181396
703409894,90.98745054006577
1955834370,90.85176630318165
1956643918,90.05665874481201
885821008,89.82812714576721
1880809100,88.0939564704895
122386841,87.91509675979614
1954635883,86.9635956287384
713447521,86.28710603713989
1883256616,85.34627532958984
17191999,85.28367137908936
1880912195,85.08423280715942
885325320,84.99630546569824
1955582441,84.65767478942871
1955828248,84.29646301269531
1882473571,84.06339144706726
1913093388,83.70798015594482
307600032,83.51319789886475
1894735964,83.17188811302185
2209196298,83.01032257080078
388247395,82.48117589950562
575576123,82.30384635925293
697555568,82.09867119789124
1892905638,81.95190024375916
1884449250,80.72570210695267
306537717,80.40168571472168
1930294982,79.93181747198105
163523689,79.73886680603027
166100109,79.1556282043457
1918679533,78.84645390510559
698232221,77.58668494224548
388267112,77.51641845703125
1892905813,77.45927333831787
716679921,76.78850138187408
95127634,76.15062141418457
381471802,75.61183547973633
1916421823,75.5972490310669
2209576512,75.58684730529785
228632763,75.23901748657227
87445406,75.17978894710541
306558054,75.15320777893066
1955360473,74.98169326782227
2208566684,74.97399139404297
212464104,74.43640911579132
1956307921,74.35305976867676
1953963424,74.31239759922028
1952833633,74.30334663391113
1880589390,73.81875801086426
692210820,73.6167049407959
238692616,73.60048866271973
231802271,73.5873794555664
1888447184,73.57259941101074
1929205084,73.20478248596191
307184106,73.18192958831787
212045874,72.89139747619629
389393958,72.57503509521484
1884602139,72.54430770874023
1931763337,72.51068353652954
307655210,72.4498496055603
714693618,72.39992094039917
235126366,72.20701789855957
306812437,72.02230429649353
83276849,71.9229736328125
702474403,71.86255645751953
1884992099,71.72110366821289
236151205,71.16537475585938
1883969263,71.12179946899414
212369440,70.75324440002441
1929923609,70.27085798978806
691836590,70.03505039215088
1882778520,69.84825253486633
1893546221,69.77623176574707
1887032599,69.30755424499512
230758608,69.24865531921387
1881832893,69.05179691314697
2242089129,68.73049545288086
1954102942,68.6600170135498
1956806780,68.65415000915527
1882798806,68.53478813171387
1952109795,68.47173118591309
308288325,68.44336891174316
1952225227,68.20266723632812
